county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Calaveras,BRET HARTE UNION HIGH,39,45579,85954,102113,63360,Bret Harte Union High
Shasta,COTTONWOOD UNION ELEMENTARY,39,40993,66899,76148,59015,Cottonwood Union Elementary
San Bernardino,NEEDLES UNIFIED,39,38391,69038,82731,69103,Needles Unified
Fresno,LATON JOINT UNIFIED,40,36494,55107,79623,54066,Laton Joint Unified
San Bernardino,LUCERNE VALLEY UNIFIED,40,34549,64117,79857,62089,Lucerne Valley Unified
Humboldt,SOUTHERN HUMBOLDT JT UNIFIED,40.6,41981,50942,66560,51800,Southern Humboldt Jt Unified
Lassen,LASSEN UNION HIGH,41,36074,60221,84604,55910,Lassen Union High
Merced,PLANADA ELEMENTARY,41,44313,66159,79379,63603,Planada Elementary
Siskiyou,SISKIYOU UNION HIGH,41,45623,56789,75502,57084,Siskiyou Union High
San Mateo,WOODSIDE ELEMENTARY,41.6,56655,91719,116018,80885,Woodside Elementary
Siskiyou,SCOTT VALLEY UNIFIED,42,29742,54148,66658,54027,Scott Valley Unified
Alameda,ALAMEDA COUNTY OFFICE OF ED.,42.87,58148,98977,109181,84245,Alameda County Office Of Ed.
San Diego,CARDIFF ELEMENTARY,42.91,46724,80480,96663,70609,Cardiff Elementary
Merced,MCSWAIN UNION ELEMENTARY,42.97,43619,67587,85723,64103,Mcswain Union Elementary
Monterey,WASHINGTON UNION ELEMENTARY,43,44330,65650,79324,61111,Washington Union Elementary
San Bernardino,HELENDALE ELEMENTARY,43.44,35654,63081,84863,64525,Helendale Elementary
San Luis Obispo,SAN LUIS OBISPO CO. OFFICE OF ED.,43.59,45606,68864,85528,63855,San Luis Obispo Co. Office Of Ed.
Lassen,SUSANVILLE ELEMENTARY,43.6,40424,65121,76470,54011,Susanville Elementary
Shasta,COLUMBIA ELEMENTARY,43.67,40002,62600,73136,56909,Columbia Elementary
Madera,BASS LAKE ELEMENTARY,44,38087,56879,70769,53084,Bass Lake Elementary
Mendocino,MENDOCINO UNIFIED,44.8,42500,57296,78000,56500,Mendocino Unified
Alameda,EMERY UNIFIED,45,41188,69033,88090,71430,Emery Unified
Monterey,SPRECKELS UNION ELEMENTARY,45,40631,59512,80444,57924,Spreckels Union Elementary
Sonoma,WAUGH ELEMENTARY,45.3,45123,75366,83183,65887,Waugh Elementary
Nevada,NEVADA CITY ELEMENTARY,45.38,43967,63919,76142,60097,Nevada City Elementary
Kings,ARMONA UNION ELEMENTARY,46,44691,67170,77547,63919,Armona Union Elementary
Santa Clara,ORCHARD ELEMENTARY,46,44422,67937,89818,75780,Orchard Elementary
